X,geoid,rural_ruca,rural_fhfa,rural_forhp,rural_rucc,rural_uic,rural_cdc,rural_cbsa_2020,rural_cbsa_2013,rural_far,year,population,race,county
223011,1101005410,0,0,0,0,0,0,0,0,0,2019,286,asian,"Kennebec County, ME"
226103,6013304002,0,1,0,0,0,0,0,0,0,2019,21,asian,"Marquette County, MI"
230110,6061021128,0,0,0,0,0,0,0,0,0,2019,194,asian,"Kennebec County, ME"
230111,6061021129,0,0,0,0,0,0,0,0,0,2019,196,asian,"Kennebec County, ME"
230112,6061021130,0,0,0,0,0,0,0,0,0,2019,396,asian,"Kennebec County, ME"
230113,6061021131,0,0,0,0,0,0,0,0,0,2019,268,asian,"Kennebec County, ME"
230114,6061021203,0,0,0,0,0,0,0,0,0,2019,215,asian,"Kennebec County, ME"
230115,6061021204,0,0,0,0,0,0,0,0,0,2019,0,asian,"Kennebec County, ME"
230116,6061021304,0,1,0,0,0,0,0,0,0,2019,312,asian,"Kennebec County, ME"
230117,6061021309,0,0,0,0,0,0,0,0,0,2019,2175,asian,"Kennebec County, ME"
230118,6061021322,0,0,0,0,0,0,0,0,0,2019,4711,asian,"Kennebec County, ME"
230119,6061021401,0,0,0,0,0,0,0,0,0,2019,18,asian,"Kennebec County, ME"
261030,30013010400,0,1,1,0,0,0,0,0,0,2019,9,asian,"Marquette County, MI"
261031,30013010600,0,1,1,0,0,0,0,0,0,2019,0,asian,"Marquette County, MI"
261032,30013010700,0,1,1,0,0,0,0,0,0,2019,20,asian,"Marquette County, MI"
261033,30013010800,0,0,0,0,0,0,0,0,0,2019,0,asian,"Marquette County, MI"
261034,30015010200,1,1,1,1,1,1,1,1,0,2019,15,asian,"Marquette County, MI"
261035,30015010300,1,1,1,1,1,1,1,1,0,2019,17,asian,"Marquette County, MI"
261036,30017961300,1,1,1,1,1,1,1,1,1,2019,3,asian,"Marquette County, MI"
261037,30017961500,1,1,1,1,1,1,1,1,1,2019,0,asian,"Marquette County, MI"
261038,30017961600,1,1,1,1,1,1,1,1,1,2019,0,asian,"Marquette County, MI"
261039,30017961800,1,1,1,1,1,1,1,1,1,2019,0,asian,"Marquette County, MI"
520037,4013112401,0,0,0,0,0,0,0,0,0,2019,5148,hispanic,"Crawford County, KS"
523011,6037109400,0,0,0,0,0,0,0,0,0,2019,2898,hispanic,"Kennebec County, ME"
526103,6059099309,0,0,0,0,0,0,0,0,0,2019,885,hispanic,"Marquette County, MI"
